Ano,Dia,Temperatura  (°C),Temperatura máx.  (°C),Temperatura mín.  (°C),Irradiância solar (W/m²),Umidade relativa (%),Pressão atmosférica (kPa),Time lag
2023,121,25.43,30.78,21.02,412.96,69.69,94.38,24.76
2023,122,25.26,30.19,21.73,415.59,72.31,94.32,22.81
2023,123,25.69,32.12,19.81,394.56,67.69,94.31,24.13
2023,124,25.79,32.15,20.23,389.7,65.75,94.39,24.62
2023,125,26.19,33.15,21.01,376.47,60.5,94.48,24.84
2023,126,25.15,32.69,18.78,372.32,61.25,94.44,25.41
2023,127,25.06,32.76,18.62,368.24,60.5,94.4,25.94
2023,128,25.38,32.36,19.53,388.81,63.44,94.46,23.53
2023,129,26.09,33.4,20.08,390.02,62.44,94.42,24.1
2023,130,26.04,33.26,20.44,389.29,63.62,94.33,24.85
2023,131,26.21,32.74,20.88,395.79,62.0,94.21,24.99
2023,132,26.42,32.07,21.61,398.3,63.38,94.31,25.75
2023,133,26.63,32.19,21.05,406.66,63.06,94.38,26.3
2023,134,26.26,32.75,21.7,422.3,68.5,94.57,26.79
2023,135,25.59,31.9,20.34,393.6,70.44,94.57,26.83
2023,136,26.07,32.43,20.85,372.11,66.0,94.44,27.03
2023,137,25.64,32.23,20.92,366.44,64.06,94.39,26.26
2023,138,25.33,31.66,20.2,377.26,66.75,94.5,26.42
2023,139,24.62,32.37,17.94,361.07,63.38,94.51,26.12
2023,140,23.32,32.34,15.76,332.82,52.56,94.45,24.45
2023,141,22.25,31.42,14.9,318.84,53.31,94.44,24.09
2023,142,23.3,32.42,15.95,334.42,55.12,94.47,24.45
2023,143,24.14,32.44,18.02,346.23,60.19,94.5,24.51
2023,144,24.4,31.29,19.82,389.59,65.31,94.46,24.84
2023,145,23.99,31.6,17.85,368.15,65.62,94.48,25.5
2023,146,24.47,31.28,18.65,380.54,65.19,94.55,26.69
2023,147,24.99,32.1,19.81,369.82,62.44,94.6,26.76
2023,148,24.69,33.15,17.64,346.19,59.12,94.51,25.03
2023,149,25.37,33.74,18.25,336.91,52.94,94.41,25.43
2023,150,25.62,33.11,20.37,348.13,53.81,94.53,25.26
2023,151,24.7,32.32,18.48,354.1,59.56,94.66,25.69
2023,152,25.19,33.05,19.79,359.82,54.0,94.61,25.79
2023,153,25.51,33.83,18.92,364.3,55.19,94.45,26.19
2023,154,25.26,32.97,19.63,364.48,58.0,94.5,25.15
2023,155,24.28,31.69,19.02,336.33,57.56,94.67,25.06
2023,156,22.43,31.26,15.65,324.62,52.88,94.73,25.38
2023,157,22.62,31.77,15.19,331.57,52.44,94.64,26.09
2023,158,23.77,32.19,16.9,351.27,58.88,94.7,26.04
2023,159,24.23,32.38,18.29,360.36,59.0,94.72,26.21
2023,160,25.36,32.94,19.08,369.91,61.0,94.65,26.42
2023,161,24.26,29.37,19.88,384.36,66.31,94.65,26.63
2023,162,25.65,33.46,18.8,369.12,58.19,94.58,26.26
2023,163,25.3,33.55,18.56,349.88,56.06,94.58,25.59
2023,164,24.98,33.37,18.27,347.65,53.88,94.61,26.07
2023,165,24.62,32.71,17.9,352.22,54.62,94.56,25.64
2023,166,24.58,32.87,17.64,363.84,56.19,94.56,25.33
2023,167,24.88,32.78,18.69,375.3,61.75,94.6,24.62
2023,168,25.68,33.79,19.08,361.34,59.06,94.6,23.32
2023,169,25.44,33.06,19.03,358.45,56.31,94.58,22.25
2023,170,24.25,31.94,18.06,356.98,60.5,94.71,23.3
2023,171,23.51,30.9,17.64,354.18,59.88,94.77,24.14
2023,172,23.53,30.65,18.16,360.19,60.75,94.7,24.4
2023,173,23.39,31.34,17.64,337.82,61.5,94.65,23.99
2023,174,22.48,30.69,16.01,324.44,59.25,94.65,24.47
2023,175,22.24,30.76,15.14,337.57,57.81,94.66,24.99
2023,176,22.58,29.97,16.68,345.53,61.0,94.69,24.69
2023,177,22.4,30.39,16.65,343.71,60.75,94.66,25.37
2023,178,23.75,30.82,19.04,358.72,60.06,94.67,25.62
2023,179,23.05,31.4,16.51,339.73,60.94,94.68,24.7
2023,180,23.23,31.94,15.85,353.05,51.5,94.7,25.19
2023,181,23.71,31.26,18.4,362.7,59.31,94.73,25.51
2023,182,23.13,30.48,17.6,353.12,60.88,94.66,25.26
2023,183,23.0,31.78,15.55,335.72,54.0,94.51,24.28
2023,184,23.78,32.69,16.62,330.74,52.38,94.53,22.43
2023,185,22.91,31.54,16.34,330.94,48.25,94.67,22.62
2023,186,21.2,29.41,14.55,315.73,56.19,94.78,23.77
2023,187,20.9,29.66,14.12,324.43,56.88,94.71,24.23
2023,188,22.42,31.55,14.89,332.4,57.19,94.59,25.36
2023,189,24.14,32.53,16.9,336.8,58.56,94.5,24.26
2023,190,25.95,33.9,18.84,350.62,52.19,94.53,25.65
2023,191,25.5,33.62,18.37,351.71,48.94,94.53,25.3
2023,192,25.51,31.67,20.87,353.66,54.69,94.52,24.98
2023,193,25.09,33.55,18.32,340.82,48.06,94.29,24.62
2023,194,25.0,34.01,17.62,345.77,40.75,94.31,24.58
2023,195,25.62,35.07,18.55,338.51,42.56,94.3,24.88
2023,196,26.05,34.66,18.3,358.41,39.88,94.35,25.68
2023,197,25.95,33.19,20.29,378.84,47.94,94.58,25.44
2023,198,24.8,33.43,18.15,356.92,52.38,94.69,24.25
2023,199,24.34,33.12,17.87,343.73,48.69,94.86,23.51
2023,200,23.6,33.28,16.27,333.22,44.38,94.97,23.53
2023,201,22.56,30.63,15.84,330.41,50.19,94.96,23.39
2023,202,22.66,30.2,15.78,352.51,60.25,94.93,22.48
2023,203,23.48,29.94,16.79,382.92,60.12,94.89,22.24
2023,204,24.0,30.5,19.03,384.03,57.5,94.94,22.58
2023,205,24.04,31.43,17.44,375.84,57.69,94.87,22.4
2023,206,24.64,31.86,18.75,345.33,53.31,94.7,23.75
2023,207,23.93,32.33,16.24,357.64,48.88,94.59,23.05
2023,208,25.38,32.19,19.74,381.97,49.0,94.66,23.23
2023,209,25.22,32.22,19.65,387.74,57.0,94.76,23.71
2023,210,25.23,31.58,20.26,382.01,60.44,94.75,23.13
2023,211,26.12,32.48,21.05,372.48,53.69,94.75,23.0
2023,212,25.29,32.73,19.58,358.25,54.75,94.87,23.78
2023,213,24.3,32.51,17.44,347.12,53.5,94.85,22.91
2023,214,24.92,32.9,18.09,355.26,51.62,94.79,21.2
2023,215,25.73,33.62,18.4,352.61,53.19,94.68,20.9
2023,216,26.14,34.47,18.58,336.72,48.25,94.56,22.42
2023,217,25.55,33.38,18.73,337.56,45.56,94.68,24.14
2023,218,24.48,33.31,17.12,325.54,41.75,94.78,25.95
2023,219,24.8,34.46,16.94,343.38,46.06,94.84,25.5
2023,220,26.15,35.6,18.23,352.57,42.44,94.71,25.51
2023,221,26.05,34.41,19.06,350.44,48.44,94.66,25.09
2023,222,24.94,32.98,17.93,346.54,49.69,94.66,25.0
2023,223,24.38,33.69,16.85,339.69,46.5,94.63,25.62
2023,224,24.5,33.51,17.48,342.19,44.75,94.57,26.05
2023,225,24.4,32.86,18.01,347.25,48.25,94.56,25.95
2023,226,24.04,32.27,17.56,345.45,48.06,94.56,24.8
2023,227,23.48,30.93,16.88,363.6,52.38,94.59,24.34
2023,228,24.58,32.21,17.65,357.13,52.88,94.58,23.6
2023,229,24.41,32.26,17.62,352.48,48.75,94.58,22.56
2023,230,25.64,33.79,18.9,373.04,50.44,94.39,22.66
2023,231,27.11,33.84,21.69,392.05,48.0,94.28,23.48
2023,232,28.49,36.1,22.42,379.12,44.12,94.19,24.0
2023,233,29.0,36.76,21.1,367.57,40.38,94.17,24.04
2023,234,28.31,36.69,20.91,389.56,44.12,94.14,24.64
2023,235,29.49,36.56,23.59,413.91,43.75,94.15,23.93
2023,236,29.89,36.37,24.26,413.2,40.5,94.21,25.38
2023,237,29.53,36.8,23.68,409.77,43.12,94.19,25.22
2023,238,29.01,35.39,23.02,421.12,44.5,94.18,25.23
2023,239,28.69,35.28,22.49,428.52,53.38,94.34,26.12
2023,240,27.96,33.73,23.17,435.23,56.0,94.47,25.29
2023,241,27.62,34.13,22.71,429.88,59.44,94.54,24.3
2023,242,27.51,34.78,21.56,430.12,58.94,94.45,24.92
2023,243,28.19,36.07,21.48,434.29,52.69,94.45,25.73
2023,244,28.26,34.85,22.39,434.11,50.75,94.44,26.14
2023,245,27.85,36.08,20.72,402.14,50.0,94.44,25.55
2023,246,26.87,35.84,19.08,380.14,44.62,94.46,24.48
2023,247,27.91,36.51,20.17,384.91,48.12,94.48,24.8
2023,248,28.32,35.53,22.44,383.56,46.88,94.55,26.15
2023,249,27.06,34.61,20.76,380.7,52.5,94.49,26.05
2023,250,26.83,34.61,19.79,371.91,44.25,94.59,24.94
2023,251,25.94,33.93,18.51,352.02,41.31,94.58,24.38
2023,252,25.83,34.69,18.06,354.92,46.75,94.58,24.5
2023,253,26.45,34.8,18.87,358.94,45.62,94.52,24.4
2023,254,26.75,35.28,19.0,352.31,46.69,94.46,24.04
2023,255,27.6,35.71,20.12,364.49,44.19,94.47,23.48
2023,256,27.62,36.53,19.87,363.96,42.88,94.41,24.58
2023,257,28.37,37.32,20.1,358.72,40.19,94.39,24.41
2023,258,29.84,38.94,21.05,365.34,35.69,94.28,25.64
2023,259,29.88,37.94,22.41,375.41,35.19,94.33,27.11
2023,260,29.16,37.38,21.93,375.16,37.62,94.43,28.49
2023,261,27.52,36.47,20.33,365.58,38.94,94.46,29.0
2023,262,27.77,37.05,20.44,366.23,39.25,94.36,28.31
2023,263,28.01,36.98,20.74,358.82,38.81,94.37,29.49
2023,264,27.61,36.83,20.13,344.99,38.81,94.32,29.89
2023,265,26.98,36.3,18.98,346.27,35.38,94.3,29.53
2023,266,27.76,37.06,18.99,348.27,31.81,94.23,29.01
2023,267,29.22,38.6,20.37,367.82,26.62,94.15,28.69
2023,268,30.78,39.97,21.69,390.84,29.75,94.12,27.96
2023,269,32.87,40.69,25.9,422.33,32.44,94.03,27.62
2023,270,33.05,39.37,26.54,415.79,33.75,94.04,27.51
2023,271,32.95,39.77,25.69,424.53,34.88,94.04,28.19
2023,272,32.59,39.05,26.9,420.27,34.0,94.18,28.26
2023,273,31.41,39.39,23.99,384.6,37.12,94.22,27.85
2023,274,30.29,38.82,21.91,388.7,36.12,94.18,26.87
2023,275,31.96,39.95,24.77,412.35,26.12,94.05,27.91
2023,276,32.08,38.27,26.51,426.73,35.81,94.02,28.32
2023,277,31.45,37.9,25.8,433.84,38.62,94.04,27.06
2023,278,31.62,39.43,24.8,436.66,37.0,94.09,26.83
2023,279,31.51,36.94,25.51,447.36,39.62,94.23,25.94
2023,280,31.4,38.5,25.23,405.82,40.44,94.35,25.83
2023,281,31.59,37.62,26.01,402.94,38.0,94.32,26.45
2023,282,30.87,37.34,26.23,396.89,41.38,94.34,26.75
2023,283,32.73,39.47,26.07,407.53,34.0,94.21,27.6
2023,284,30.92,38.63,24.07,379.62,33.62,94.22,27.62
2023,285,29.94,38.83,21.27,374.02,31.12,94.17,28.37
2023,286,31.26,39.62,22.48,378.27,30.69,94.16,29.84
2023,287,31.49,39.68,23.43,408.32,31.25,94.23,29.88
2023,288,30.55,38.11,23.68,373.08,33.81,94.41,29.16
2023,289,30.1,37.98,23.28,365.06,33.0,94.34,27.52
2023,290,29.23,37.68,22.61,371.05,32.44,94.3,27.77
2023,291,29.52,38.7,21.75,375.76,30.44,94.25,28.01
2023,292,30.51,39.3,21.67,380.4,28.81,94.22,27.61
2023,293,30.23,36.97,22.27,409.68,30.19,94.27,26.98
2023,294,31.73,38.92,24.76,409.64,33.75,94.2,27.76
2023,295,31.52,38.3,25.03,427.09,38.5,94.16,29.22
2023,296,31.5,37.54,25.04,414.45,35.25,94.18,30.78
2023,297,31.8,38.01,25.44,410.16,40.06,94.08,32.87
2023,298,29.71,34.98,24.11,414.95,54.56,94.02,33.05
2023,299,29.3,34.84,24.23,413.1,58.62,93.9,32.95
2023,300,29.98,35.96,23.87,420.95,56.94,94.0,32.59
2023,301,31.33,38.47,24.83,423.62,49.75,94.0,31.41
2023,302,31.8,39.29,25.9,381.72,39.75,94.03,30.29
2023,303,29.65,38.25,21.8,389.65,37.69,94.03,31.96
2023,304,30.4,34.97,26.64,417.46,46.5,94.01,32.08
2023,305,28.99,34.94,23.79,432.53,58.31,94.0,31.45
2023,306,27.44,31.7,23.58,446.34,66.94,94.04,31.62
2023,307,27.36,32.7,22.83,441.27,68.88,94.12,31.51
2023,308,28.93,35.76,23.27,445.18,62.81,94.06,31.4
2023,309,27.78,31.54,24.17,443.56,70.81,94.03,31.59
2023,310,25.98,30.01,23.33,435.49,80.44,94.2,30.87
2023,311,26.85,33.5,21.94,410.57,71.12,94.28,32.73
2023,312,27.37,33.82,21.17,391.43,60.62,94.37,30.92
2023,313,26.95,32.76,21.55,366.88,60.5,94.37,29.94
2023,314,28.39,35.71,22.01,372.51,52.06,94.25,31.26
2023,315,28.53,36.32,21.66,384.66,48.25,94.17,31.49
2023,316,28.98,37.51,19.76,374.55,44.75,94.13,30.55
2023,317,29.37,38.48,19.94,367.34,39.88,94.1,30.1
2023,318,30.94,39.9,21.38,384.52,35.62,94.03,29.23
2023,319,31.13,40.28,22.01,392.39,38.5,93.96,29.52
2023,320,30.99,38.97,24.01,414.02,45.88,93.93,30.51
2023,321,29.61,35.3,25.06,429.77,61.12,94.06,30.23
2023,322,30.44,37.08,23.73,438.76,58.25,94.1,31.73
2023,323,31.12,36.8,25.7,430.05,52.56,94.12,31.52
2023,324,29.4,35.69,23.29,424.47,57.19,94.07,31.5
2023,325,28.9,35.06,23.24,422.34,58.25,94.07,31.8
2023,326,28.88,35.68,22.95,410.18,56.5,94.05,29.71
2023,327,29.64,37.3,23.05,379.45,50.81,94.19,29.3
2023,328,29.9,37.19,23.44,410.56,51.12,94.33,29.98
2023,329,30.69,37.48,24.57,416.2,45.69,94.17,31.33
2023,330,30.58,38.51,24.72,416.83,44.62,94.15,31.8
2023,331,30.12,37.53,23.93,403.58,43.31,94.32,29.65
2023,332,28.69,37.77,19.66,369.73,30.88,94.3,30.4
2023,333,29.85,38.01,21.23,392.37,37.81,94.14,28.99
2023,334,31.58,38.85,23.97,415.52,34.75,94.1,27.44
2023,335,33.14,40.15,25.94,414.77,28.62,94.07,27.36
2023,336,32.59,39.97,25.87,421.26,30.06,94.05,28.93
2023,337,30.88,35.68,26.69,428.55,42.88,94.07,27.78
2023,338,30.15,34.89,25.56,430.0,48.19,94.24,25.98
2023,339,29.65,36.76,22.84,418.37,55.19,94.29,26.85
2023,340,30.24,35.17,25.7,396.66,45.81,94.13,27.37
2023,341,29.2,37.8,22.4,381.27,37.0,94.15,26.95
2023,342,30.28,38.12,22.73,406.07,36.44,94.15,28.39
2023,343,32.36,38.83,26.49,419.2,34.81,94.03,28.53
2023,344,31.98,38.59,25.43,433.2,41.75,93.97,28.98
2023,345,31.0,35.45,26.04,421.01,40.44,94.04,29.37
2023,346,30.38,37.31,24.03,414.71,47.69,94.15,30.94
2023,347,31.72,38.03,25.94,408.34,38.19,94.0,31.13
2023,348,31.12,39.08,23.68,355.33,29.06,93.98,30.99
2023,349,29.76,38.86,22.03,362.88,32.56,94.07,29.61
2023,350,29.97,38.32,21.87,376.18,32.38,94.12,30.44
2023,351,30.85,39.06,22.36,405.7,33.81,94.01,31.12
2023,352,31.26,37.64,25.44,416.12,38.94,93.92,29.4
2023,353,29.4,35.57,23.17,426.47,52.06,93.91,28.9
2023,354,27.52,31.86,23.55,416.2,63.06,94.03,28.88
2023,355,24.44,27.69,22.34,424.9,82.62,94.34,29.64
2023,356,25.65,31.29,21.3,427.04,74.94,94.41,29.9
2023,357,28.56,34.59,22.15,419.32,56.81,94.32,30.69
2023,358,28.98,36.11,21.99,421.4,57.0,94.29,30.58
2023,359,30.79,37.67,24.53,406.7,49.69,94.25,30.12
2023,360,30.01,37.93,21.48,389.05,46.5,94.27,28.69
2023,361,31.3,37.74,25.31,407.16,46.0,94.18,29.85
2023,362,29.68,36.01,24.55,423.81,53.44,94.2,31.58
2023,363,30.5,37.65,24.73,429.28,52.06,94.19,33.14
2023,364,28.7,35.69,23.25,436.23,66.25,94.22,32.59
2023,365,26.41,30.55,22.55,429.28,74.12,94.21,30.88
2024,1,26.92,32.65,22.12,437.09,72.44,94.2,30.15
2024,2,24.84,27.6,22.25,436.18,83.62,94.17,29.65
2024,3,24.97,29.8,20.92,436.16,83.06,94.21,30.24
2024,4,25.37,30.47,21.58,435.96,82.88,94.25,29.2
2024,5,24.14,26.83,22.16,435.42,88.81,94.24,30.28
2024,6,25.72,30.9,21.4,433.02,79.88,94.22,32.36
2024,7,26.25,30.8,21.41,413.34,77.81,94.22,31.98
2024,8,25.01,27.43,22.51,412.85,85.88,94.25,31.0
2024,9,25.75,30.63,21.21,399.96,78.44,94.3,30.38
2024,10,26.58,31.4,22.0,408.27,70.75,94.25,31.72
2024,11,26.37,31.19,22.04,409.01,72.62,94.24,31.12
2024,12,27.37,32.94,21.46,399.46,68.25,94.12,29.76
2024,13,26.26,31.75,20.95,407.76,71.62,94.23,29.97
2024,14,26.22,32.06,21.39,418.23,71.25,94.42,30.85
2024,15,26.82,32.26,21.33,404.86,66.25,94.47,31.26
2024,16,27.13,32.94,22.79,394.8,67.88,94.38,29.4
2024,17,27.33,33.01,22.22,398.72,66.44,94.36,27.52
2024,18,28.22,34.76,22.55,393.73,60.81,94.3,24.44
2024,19,28.32,34.57,22.56,399.81,61.19,94.3,25.65
2024,20,29.16,36.58,22.25,417.04,56.31,94.18,28.56
2024,21,28.48,35.83,22.15,433.35,62.94,94.25,28.98
2024,22,27.4,33.27,22.62,433.9,71.38,94.31,30.79
2024,23,26.02,30.33,22.83,435.05,79.06,94.25,30.01
2024,24,26.5,32.63,22.36,426.55,76.56,94.08,31.3
2024,25,26.01,30.86,23.03,443.41,78.94,94.06,29.68
2024,26,24.69,28.65,21.33,427.1,86.44,94.16,30.5
2024,27,24.6,28.29,21.5,425.18,85.38,94.28,28.7
2024,28,24.3,28.43,21.0,412.59,85.69,94.47,26.41
2024,29,24.79,29.19,20.91,412.36,79.44,94.53,26.92
2024,30,24.9,29.55,20.39,413.41,81.19,94.42,24.84
2024,31,25.88,30.16,22.25,398.64,79.0,94.36,24.97
2024,32,25.51,28.96,21.75,406.08,78.81,94.38,25.37
2024,33,25.23,29.77,20.72,389.38,71.69,94.4,24.14
2024,34,24.81,29.8,20.58,401.62,71.19,94.43,25.72
2024,35,24.82,30.48,19.64,393.9,69.5,94.39,26.25
2024,36,25.78,31.73,20.54,389.8,70.0,94.37,25.01
2024,37,26.87,32.06,21.51,401.88,67.69,94.44,25.75
2024,38,27.37,33.32,22.01,412.37,65.62,94.34,26.58
2024,39,27.74,33.65,22.94,424.09,61.38,94.22,26.37
2024,40,25.66,29.36,21.83,417.64,76.56,94.28,27.37
2024,41,23.69,26.98,21.44,407.95,86.94,94.41,26.26
2024,42,23.62,27.69,20.43,404.09,82.31,94.6,26.22
2024,43,24.48,30.46,20.35,397.07,73.88,94.52,26.82
2024,44,25.25,31.88,19.18,378.18,72.19,94.51,27.13
2024,45,26.51,32.59,20.05,383.05,65.94,94.5,27.33
2024,46,27.53,33.65,20.58,395.28,60.0,94.43,28.22
2024,47,28.08,34.27,21.05,407.88,60.5,94.37,28.32
2024,48,26.1,29.78,22.78,425.51,79.06,94.3,29.16
2024,49,25.81,30.99,21.48,432.93,78.0,94.27,28.48
2024,50,25.56,29.69,21.85,416.54,81.81,94.19,27.4
2024,51,24.82,28.67,21.65,419.47,87.0,94.1,26.02
2024,52,24.12,28.33,21.47,415.06,88.88,94.11,26.5
2024,53,23.59,26.82,21.43,411.27,87.94,94.26,26.01
2024,54,23.61,27.79,20.61,411.26,88.0,94.43,24.69
2024,55,24.51,29.29,20.55,395.29,84.06,94.52,24.6
2024,56,24.4,29.76,18.63,385.24,80.31,94.52,24.3
2024,57,24.11,29.23,18.84,381.55,79.31,94.36,24.79
2024,58,24.29,29.96,19.8,390.67,81.06,94.27,24.9
2024,59,25.43,30.19,20.38,397.66,78.81,94.32,25.88
2024,60,26.09,30.95,20.92,407.13,73.31,94.37,25.51
2024,61,26.3,31.59,21.52,409.76,72.94,94.3,25.23
2024,62,26.33,31.26,21.63,417.48,77.75,94.25,24.81
2024,63,26.16,30.33,21.79,413.45,80.06,94.21,24.82
2024,64,24.15,27.12,21.64,408.99,90.06,94.31,25.78
2024,65,24.11,28.86,19.94,409.25,83.94,94.41,26.87
2024,66,25.61,30.55,20.9,409.57,79.5,94.4,27.37
2024,67,26.04,31.08,21.31,404.66,77.69,94.44,27.74
2024,68,25.97,31.95,20.69,400.59,75.19,94.37,25.66
2024,69,26.03,32.23,19.87,380.05,70.12,94.32,23.69
2024,70,26.74,32.87,20.2,400.88,65.12,94.33,23.62
2024,71,27.87,33.36,22.92,426.19,61.94,94.35,24.48
2024,72,28.55,34.22,23.17,427.96,58.06,94.41,25.25
2024,73,28.12,34.1,22.41,424.52,63.62,94.38,26.51
2024,74,28.76,35.3,22.54,420.6,60.31,94.3,27.53
2024,75,28.25,34.65,22.43,431.22,62.75,94.17,28.08
2024,76,27.66,34.11,22.81,432.48,68.19,94.13,26.1
2024,77,28.5,36.47,21.43,415.32,57.12,94.21,25.81
2024,78,29.32,35.75,22.94,407.34,52.75,94.17,25.56
2024,79,30.53,37.61,24.99,424.28,49.94,94.04,24.82
2024,80,29.29,35.61,23.6,428.73,57.94,94.04,24.12
2024,81,28.74,35.28,22.71,432.24,62.38,94.15,23.59
2024,82,29.15,35.1,23.48,425.7,62.81,94.15,23.61
2024,83,28.44,34.33,23.18,436.41,65.0,94.14,24.51
2024,84,28.98,35.15,23.43,412.41,61.12,94.13,24.4
2024,85,28.41,35.3,21.91,383.51,52.5,94.09,24.11
2024,86,29.15,36.23,23.44,391.78,48.75,94.19,24.29
2024,87,28.83,35.59,23.04,421.91,58.62,94.21,25.43
