,mes,Uu01,Uu02,Uu03,Uu04,Uu05,Uu06,Uu07,Uu08,Uu09,Uu10
0,1,27.136562,27.090405,27.143744,27.174543,27.209614,27.180927,27.130976,27.156298,27.18184,27.175447
1,2,26.738674,26.698387,26.798803,26.775192,26.846409,26.80362,26.768166,26.752392,26.790878,26.786121
2,3,27.147268,27.07903,27.200167,27.130518,27.254868,27.251272,27.185352,27.125853,27.149057,27.142483
3,4,27.202969,27.09427,27.23649,27.118877,27.260193,27.318668,27.229618,27.125992,27.119423,27.121885
4,5,27.138508,27.08713,27.079973,27.146034,27.156239,27.150473,27.096645,27.13255,27.15432,27.1388
5,6,27.520945,27.49775,27.56566,27.602226,27.656336,27.590296,27.547972,27.560387,27.61172,27.596764
6,7,27.445423,27.354511,27.49341,27.410036,27.542353,27.569239,27.477892,27.410542,27.413961,27.415846
7,8,28.200886,28.057728,28.220438,28.136229,28.273148,28.338379,28.194967,28.139965,28.121273,28.13339
8,9,28.88969,28.813002,28.903704,28.930815,28.990616,28.986996,28.883799,28.916424,28.919033,28.92229
9,10,28.725168,28.505398,28.733612,28.51347,28.724552,28.910278,28.708149,28.561024,28.486488,28.522411
10,11,27.506142,27.413918,27.568884,27.444214,27.604809,27.642572,27.55462,27.464035,27.460192,27.463717
11,12,28.184803,28.116999,28.255331,28.258657,28.323645,28.29139,28.205044,28.24519,28.249332,28.26262
12,13,27.739552,27.644075,27.778414,27.802238,27.801126,27.839525,27.72154,27.749245,27.728483,27.766502
13,14,26.908749,26.880281,26.95136,26.97586,27.01276,26.999355,26.93897,26.936075,26.95486,26.960297
