Ano,Dia,Velocidade do vento (m/s),Ponto de orvalho (°C),Temperatura mín.  (°C),Irradiância solar (W/m²),Umidade relativa (%),Velocidade máx. do vento (m/s),Velocidade mín. do vento (m/s),Pressão atmosférica (kPa),Time lag
2023,121,1.3,19.01,21.02,412.96,69.69,2.91,0.45,94.38,2.44
2023,122,0.74,19.48,21.73,415.59,72.31,1.29,0.13,94.32,1.95
2023,123,01.03,18.6,19.81,394.56,67.69,2.41,0.64,94.31,1.26
2023,124,1.77,18.3,20.23,389.7,65.75,3.62,0.83,94.39,1.14
2023,125,2.38,17.37,21.01,376.47,60.5,3.73,1.29,94.48,1.52
2023,126,2.23,16.44,18.78,372.32,61.25,3.38,1.14,94.44,1.44
2023,127,2.0,16.26,18.62,368.24,60.5,3.41,1.11,94.4,1.3
2023,128,02.05,17.34,19.53,388.81,63.44,3.44,1.14,94.46,0.74
2023,129,1.88,17.48,20.08,390.02,62.44,3.26,0.88,94.42,01.03
2023,130,1.77,17.8,20.44,389.29,63.62,2.87,0.78,94.33,1.77
2023,131,1.17,17.62,20.88,395.79,62.0,2.61,0.45,94.21,2.38
2023,132,0.68,18.36,21.61,398.3,63.38,1.29,0.18,94.31,2.23
2023,133,0.72,18.44,21.05,406.66,63.06,1.3,0.27,94.38,2.0
2023,134,1.41,19.35,21.7,422.3,68.5,2.48,0.7,94.57,02.05
2023,135,1.8,19.19,20.34,393.6,70.44,3.46,0.77,94.57,1.88
2023,136,1.58,18.51,20.85,372.11,66.0,2.99,0.8,94.44,1.77
2023,137,1.7,17.62,20.92,366.44,64.06,2.77,0.77,94.39,1.17
2023,138,1.84,18.09,20.2,377.26,66.75,3.59,0.73,94.5,0.68
2023,139,2.0,16.01,17.94,361.07,63.38,3.24,0.8,94.51,0.72
2023,140,2.29,11.8,15.76,332.82,52.56,3.33,1.1,94.45,1.41
2023,141,2.43,11.16,14.9,318.84,53.31,3.96,1.36,94.44,1.8
2023,142,2.4,13.06,15.95,334.42,55.12,3.53,1.48,94.47,1.58
2023,143,03.08,15.01,18.02,346.23,60.19,4.7,1.68,94.5,1.7
2023,144,3.11,16.83,19.82,389.59,65.31,4.81,1.69,94.46,1.84
2023,145,3.3,16.26,17.85,368.15,65.62,5.71,1.47,94.48,2.0
